Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Sh,SoT,SoT%,PK,PKatt,CrdY,CrdR,Fls,Crs,OG,2CrdY,performance_index
Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,31.0,1994.0,22,22,1916,21.3,7,5,71.4,0,0,3,0,21,5,0,0,-0.10872894250201053
Pep Chavarría,es ESP,DF,Rayo Vallecano,es La Liga,27.0,1998.0,23,21,1925,21.4,14,2,14.3,0,0,6,1,26,67,0,1,0.1815628785266961
Samir Chergui,dz ALG,DF,Paris FC,fr Ligue 1,27.0,1999.0,12,11,973,10.8,11,3,27.3,0,0,1,0,12,6,0,0,-0.6573392517945119
Sidiki Cherif,fr FRA,"FW,MF",Angers,fr Ligue 1,19.0,2006.0,19,14,1157,12.9,28,12,42.9,0,0,3,0,15,6,0,0,-0.19209648522491318
Rayan Cherki,fr FRA,MF,Manchester City,eng Premier League,22.0,2003.0,23,13,1196,13.3,29,7,24.1,0,0,1,0,13,52,0,0,0.45365893741915914
Ben Chilwell,eng ENG,"DF,MF",Strasbourg,fr Ligue 1,29.0,1996.0,17,16,1387,15.4,3,1,33.3,0,0,4,0,13,29,0,0,-0.3362954189922574
Joris Chotard,fr FRA,MF,Brest,fr Ligue 1,24.0,2001.0,23,22,1977,22.0,21,7,33.3,0,0,1,0,20,30,0,0,0.0987256598461702
Víctor Chust,es ESP,DF,Elche,es La Liga,25.0,2000.0,20,16,1522,16.9,4,1,25.0,0,0,7,1,27,14,0,1,-0.5523779494004593
Alessandro Circati,au AUS,DF,Parma,it Serie A,22.0,2003.0,20,20,1705,18.9,3,1,33.3,0,0,5,0,21,2,0,0,-0.04214421862994234
Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,es La Liga,31.0,1994.0,18,13,1251,13.9,13,6,46.2,0,0,4,2,18,1,0,0,-0.29261176863596994
Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,de Bundesliga,27.0,1998.0,21,18,1525,16.9,54,21,38.9,1,1,3,0,20,45,0,0,0.5392177952385503
Jonathan Clauss,fr FRA,"MF,DF",Nice,fr Ligue 1,33.0,1992.0,21,19,1741,19.3,15,3,20.0,0,0,0,0,16,153,0,0,0.42045569480951517
Saúl Coco,gq EQG,DF,Torino,it Serie A,27.0,1999.0,24,24,2160,24.0,13,4,30.8,0,0,2,0,32,4,0,0,0.22212212356281555
